"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"AlecBurks","202692",2016,16,20,NA,NA,NA,69,34,NA,140,95,52
"MarkieffMorris","202693",2016,57,73,195,136,43,81,NA,51,13,170,80
"MarcusMorris Sr.","202694",2016,24,83,165,51,52,132,40,58,147,272,175
"KawhiLeonard","202695",2016,57,46,172,14,46,170,85,87,181,311,156
"NikolaVucevic","202696",2016,118,64,348,226,117,63,11,19,11,165,88
"ImanShumpert","202697",2016,NA,27,NA,NA,NA,61,13,19,59,160,30
"TobiasHarris","202699",2016,78,43,92,88,71,168,21,44,129,257,96
"DonatasMotiejunas","202700",2016,36,16,60,50,17,26,NA,NA,NA,58,NA
"KennethFaried","202702",2016,169,74,94,132,173,108,NA,NA,NA,42,18
"NikolaMirotic","202703",2016,44,48,88,60,36,92,42,40,22,288,31
"ReggieJackson","202704",2016,17,89,NA,NA,21,212,33,20,896,131,183
"JordanHamilton","202706",2016,NA,NA,NA,NA,NA,26,NA,NA,18,45,13
"NorrisCole","202708",2016,NA,29,NA,NA,NA,99,41,NA,279,96,22
"CoryJoseph","202709",2016,NA,52,NA,NA,NA,72,23,15,354,147,86
"JimmyButler","202710",2016,126,60,78,12,37,167,76,68,436,146,169
"BojanBogdanovic","202711",2016,45,34,66,NA,17,172,22,90,113,286,72
"KyleSingler","202713",2016,34,17,NA,NA,24,50,15,NA,NA,109,NA
"ShelvinMack","202714",2016,NA,23,NA,NA,NA,57,49,NA,150,100,29
"ChandlerParsons","202718",2016,45,36,25,10,13,125,40,73,150,227,62
"JonLeuer","202720",2016,52,37,44,137,49,62,11,NA,NA,138,46
"LavoyAllen","202730",2016,104,43,40,81,90,40,NA,NA,NA,64,NA
"E'TwaunMoore","202734",2016,22,22,11,NA,12,83,44,NA,113,126,15
"IsaiahThomas","202738",2016,32,81,NA,NA,17,418,171,157,568,244,146
"GregSmith","202962",2016,13,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"AnthonyDavis","203076",2016,107,79,262,352,92,115,14,93,NA,186,124
"MichaelKidd-Gilchrist","203077",2016,10,NA,NA,NA,NA,24,NA,NA,14,17,NA
"BradleyBeal","203078",2016,33,54,NA,NA,14,170,70,148,287,129,58
"DionWaiters","203079",2016,NA,22,NA,NA,10,171,32,63,228,219,136
"ThomasRobinson","203080",2016,48,37,20,106,99,37,NA,NA,NA,24,27
